Std_Loc_Name,Transect_Num,Height,PG,shrub,Total_Grass,AG,exotic,PROSO,Live_Hits,Trials,Event_Year,Visit
Uplands_PARK_Bullwinkle_001,1,Field,24,1,28,0,0,0,33,40,2011,T1
Uplands_PARK_Bullwinkle_001,2,Field,13,11,16,3,0,0,29,40,2011,T1
Uplands_PARK_Bullwinkle_001,3,Field,9,0,11,2,0,0,15,40,2011,T1
Uplands_PARK_Bullwinkle_001,4,Field,5,5,8,3,0,0,18,40,2011,T1
Uplands_PARK_Bullwinkle_001,5,Field,8,0,18,10,0,0,24,40,2011,T1
Uplands_PARK_Bullwinkle_001,6,Field,8,1,15,7,0,0,17,40,2011,T1
Uplands_PARK_Bullwinkle_001,1,Field,24,1,24,0,0,0,27,40,2016,T2
Uplands_PARK_Bullwinkle_001,2,Field,11,8,11,0,1,0,23,40,2016,T2
Uplands_PARK_Bullwinkle_001,3,Field,29,2,29,0,0,0,33,40,2016,T2
Uplands_PARK_Bullwinkle_001,4,Field,22,2,22,0,0,0,29,40,2016,T2
Uplands_PARK_Bullwinkle_001,5,Field,33,0,33,0,0,0,34,40,2016,T2
Uplands_PARK_Bullwinkle_001,6,Field,28,0,28,0,0,0,29,40,2016,T2
Uplands_PARK_Bullwinkle_001,1,Field,20,3,20,0,0,0,29,40,2021,T3
Uplands_PARK_Bullwinkle_001,2,Field,7,12,7,0,0,0,25,40,2021,T3
Uplands_PARK_Bullwinkle_001,3,Field,14,1,14,0,0,0,21,40,2021,T3
Uplands_PARK_Bullwinkle_001,4,Field,11,10,11,0,0,0,24,40,2021,T3
Uplands_PARK_Bullwinkle_001,5,Field,15,4,15,0,0,0,25,40,2021,T3
Uplands_PARK_Bullwinkle_001,6,Field,26,0,26,0,0,0,30,40,2021,T3
Uplands_PARK_Bullwinkle_002,1,Field,28,2,28,0,0,0,31,40,2011,T1
Uplands_PARK_Bullwinkle_002,2,Field,16,4,18,0,0,0,25,40,2011,T1
Uplands_PARK_Bullwinkle_002,3,Field,9,7,9,0,0,0,17,40,2011,T1
Uplands_PARK_Bullwinkle_002,4,Field,5,5,6,0,0,0,18,40,2011,T1
Uplands_PARK_Bullwinkle_002,5,Field,8,9,9,0,0,0,22,40,2011,T1
Uplands_PARK_Bullwinkle_002,6,Field,7,3,7,0,0,0,17,40,2011,T1
Uplands_PARK_Bullwinkle_002,1,Field,21,9,21,0,0,0,33,40,2016,T2
Uplands_PARK_Bullwinkle_002,2,Field,12,8,12,0,0,0,23,40,2016,T2
Uplands_PARK_Bullwinkle_002,3,Field,10,7,10,0,0,0,19,40,2016,T2
Uplands_PARK_Bullwinkle_002,4,Field,18,2,19,1,0,0,23,40,2016,T2
Uplands_PARK_Bullwinkle_002,5,Field,14,7,14,0,0,0,24,40,2016,T2
Uplands_PARK_Bullwinkle_002,6,Field,9,2,9,0,0,0,15,40,2016,T2
Uplands_PARK_Bullwinkle_002,1,Field,15,8,15,0,0,0,25,40,2021,T3
Uplands_PARK_Bullwinkle_002,2,Field,8,5,8,0,0,0,20,40,2021,T3
Uplands_PARK_Bullwinkle_002,3,Field,4,8,4,0,0,0,13,40,2021,T3
Uplands_PARK_Bullwinkle_002,4,Field,3,1,4,1,0,0,10,40,2021,T3
Uplands_PARK_Bullwinkle_002,5,Field,5,13,6,1,0,0,22,40,2021,T3
Uplands_PARK_Bullwinkle_002,6,Field,3,8,3,0,0,0,15,40,2021,T3
Uplands_PARK_Bullwinkle_003,1,Field,0,0,7,6,0,3,12,40,2011,T1
Uplands_PARK_Bullwinkle_003,2,Field,2,1,4,2,0,0,9,40,2011,T1
Uplands_PARK_Bullwinkle_003,3,Field,2,0,10,2,0,0,10,40,2011,T1
Uplands_PARK_Bullwinkle_003,4,Field,3,0,7,0,0,0,13,40,2011,T1
Uplands_PARK_Bullwinkle_003,5,Field,1,0,4,1,0,0,7,40,2011,T1
Uplands_PARK_Bullwinkle_003,6,Field,6,0,12,1,0,0,19,40,2011,T1
Uplands_PARK_Bullwinkle_003,1,Field,22,1,22,0,0,1,30,40,2016,T2
Uplands_PARK_Bullwinkle_003,2,Field,27,0,27,0,0,0,37,40,2016,T2
Uplands_PARK_Bullwinkle_003,3,Field,27,0,27,0,0,0,36,40,2016,T2
Uplands_PARK_Bullwinkle_003,4,Field,28,0,28,0,0,0,38,40,2016,T2
Uplands_PARK_Bullwinkle_003,5,Field,19,0,19,0,0,0,29,40,2016,T2
Uplands_PARK_Bullwinkle_003,6,Field,30,0,30,0,0,0,38,40,2016,T2
Uplands_PARK_Bullwinkle_003,1,Field,11,2,11,0,0,2,25,40,2021,T3
Uplands_PARK_Bullwinkle_003,2,Field,18,0,18,0,0,0,31,40,2021,T3
Uplands_PARK_Bullwinkle_003,3,Field,20,0,20,0,0,0,31,40,2021,T3
Uplands_PARK_Bullwinkle_003,4,Field,18,0,18,0,0,0,25,40,2021,T3
Uplands_PARK_Bullwinkle_003,5,Field,24,0,25,1,0,0,35,40,2021,T3
Uplands_PARK_Bullwinkle_003,6,Field,14,0,14,0,0,0,26,40,2021,T3
Uplands_PARK_Bullwinkle_004,1,Field,1,1,1,0,0,0,7,40,2011,T1
Uplands_PARK_Bullwinkle_004,2,Field,2,3,2,0,0,0,6,40,2011,T1
Uplands_PARK_Bullwinkle_004,3,Field,0,0,0,0,0,0,3,40,2011,T1
Uplands_PARK_Bullwinkle_004,4,Field,4,1,7,2,0,0,13,40,2011,T1
Uplands_PARK_Bullwinkle_004,5,Field,6,2,7,1,0,0,11,40,2011,T1
Uplands_PARK_Bullwinkle_004,6,Field,5,0,6,0,0,0,12,40,2011,T1
Uplands_PARK_Bullwinkle_004,1,Field,24,0,25,1,0,0,33,40,2016,T2
Uplands_PARK_Bullwinkle_004,2,Field,21,4,21,0,0,0,29,40,2016,T2
Uplands_PARK_Bullwinkle_004,3,Field,24,1,24,0,0,0,32,40,2016,T2
Uplands_PARK_Bullwinkle_004,4,Field,24,3,24,0,0,0,36,40,2016,T2
Uplands_PARK_Bullwinkle_004,5,Field,31,2,31,0,0,0,38,40,2016,T2
Uplands_PARK_Bullwinkle_004,6,Field,26,0,26,0,0,0,37,40,2016,T2
Uplands_PARK_Bullwinkle_004,1,Field,19,0,19,0,0,0,28,40,2021,T3
Uplands_PARK_Bullwinkle_004,2,Field,18,0,18,0,0,0,24,40,2021,T3
Uplands_PARK_Bullwinkle_004,3,Field,23,3,23,0,0,0,33,40,2021,T3
Uplands_PARK_Bullwinkle_004,4,Field,15,2,15,0,0,0,28,40,2021,T3
Uplands_PARK_Bullwinkle_004,5,Field,18,2,18,0,0,0,30,40,2021,T3
Uplands_PARK_Bullwinkle_004,6,Field,8,0,8,0,0,0,14,40,2021,T3
Uplands_PARK_Bullwinkle_005,1,Field,6,5,6,0,0,0,13,40,2011,T1
Uplands_PARK_Bullwinkle_005,2,Field,7,4,7,0,0,0,12,40,2011,T1
Uplands_PARK_Bullwinkle_005,3,Field,9,0,10,1,0,0,10,40,2011,T1
Uplands_PARK_Bullwinkle_005,4,Field,4,0,7,3,0,0,9,40,2011,T1
Uplands_PARK_Bullwinkle_005,5,Field,7,0,9,2,0,0,11,40,2011,T1
Uplands_PARK_Bullwinkle_005,6,Field,2,0,5,3,0,0,8,40,2011,T1
Uplands_PARK_Bullwinkle_005,1,Field,37,0,37,0,0,0,37,40,2016,T2
Uplands_PARK_Bullwinkle_005,2,Field,34,0,34,0,0,0,36,40,2016,T2
Uplands_PARK_Bullwinkle_005,3,Field,35,0,35,0,0,0,38,40,2016,T2
Uplands_PARK_Bullwinkle_005,4,Field,34,0,34,0,0,0,34,40,2016,T2
Uplands_PARK_Bullwinkle_005,5,Field,31,6,31,0,0,0,37,40,2016,T2
Uplands_PARK_Bullwinkle_005,6,Field,25,4,25,0,0,0,34,40,2016,T2
Uplands_PARK_Bullwinkle_005,1,Field,36,0,36,0,0,0,36,40,2021,T3
Uplands_PARK_Bullwinkle_005,2,Field,34,0,34,0,0,0,35,40,2021,T3
Uplands_PARK_Bullwinkle_005,3,Field,32,0,32,0,0,0,36,40,2021,T3
Uplands_PARK_Bullwinkle_005,4,Field,34,0,34,0,0,0,34,40,2021,T3
Uplands_PARK_Bullwinkle_005,5,Field,32,1,32,0,0,0,36,40,2021,T3
Uplands_PARK_Bullwinkle_005,6,Field,23,7,23,0,0,0,38,40,2021,T3
Uplands_PARK_Rocky_002,1,Field,17,1,25,0,0,0,28,40,2011,T1
Uplands_PARK_Rocky_002,2,Field,10,7,17,0,0,0,32,40,2011,T1
Uplands_PARK_Rocky_002,3,Field,15,11,18,0,0,0,32,40,2011,T1
Uplands_PARK_Rocky_002,4,Field,16,8,18,0,0,0,28,40,2011,T1
Uplands_PARK_Rocky_002,5,Field,13,9,16,0,0,0,32,40,2011,T1
Uplands_PARK_Rocky_002,6,Field,16,1,17,0,0,0,22,40,2011,T1
Uplands_PARK_Rocky_002,1,Field,27,3,27,0,0,0,34,40,2016,T2
Uplands_PARK_Rocky_002,2,Field,22,6,22,0,0,0,33,40,2016,T2
Uplands_PARK_Rocky_002,3,Field,15,6,15,0,0,0,29,40,2016,T2
Uplands_PARK_Rocky_002,4,Field,25,3,25,0,0,0,35,40,2016,T2
Uplands_PARK_Rocky_002,5,Field,21,12,21,0,0,0,35,40,2016,T2
Uplands_PARK_Rocky_002,6,Field,27,3,27,0,0,0,35,40,2016,T2
Uplands_PARK_Rocky_002,1,Field,29,2,29,0,0,0,34,40,2021,T3
Uplands_PARK_Rocky_002,2,Field,14,3,14,0,0,0,21,40,2021,T3
Uplands_PARK_Rocky_002,3,Field,14,12,14,0,0,0,31,40,2021,T3
Uplands_PARK_Rocky_002,4,Field,16,3,16,0,0,0,24,40,2021,T3
Uplands_PARK_Rocky_002,5,Field,17,13,17,0,0,0,33,40,2021,T3
Uplands_PARK_Rocky_002,6,Field,17,3,17,0,0,0,24,40,2021,T3
Uplands_PARK_Rocky_003,1,Field,9,5,9,0,0,0,23,40,2011,T1
Uplands_PARK_Rocky_003,2,Field,3,8,3,0,0,0,15,40,2011,T1
Uplands_PARK_Rocky_003,3,Field,10,4,10,0,0,0,23,40,2011,T1
Uplands_PARK_Rocky_003,4,Field,1,3,1,0,0,0,19,40,2011,T1
Uplands_PARK_Rocky_003,5,Field,7,10,7,0,0,0,32,40,2011,T1
Uplands_PARK_Rocky_003,6,Field,5,7,5,0,0,0,17,40,2011,T1
Uplands_PARK_Rocky_003,1,Field,15,6,15,0,0,0,28,40,2016,T2
Uplands_PARK_Rocky_003,2,Field,10,4,10,0,0,0,21,40,2016,T2
Uplands_PARK_Rocky_003,3,Field,8,5,8,0,0,0,18,40,2016,T2
Uplands_PARK_Rocky_003,4,Field,14,9,14,0,0,0,33,40,2016,T2
Uplands_PARK_Rocky_003,5,Field,15,11,15,0,0,1,32,40,2016,T2
Uplands_PARK_Rocky_003,6,Field,7,1,7,0,0,0,22,40,2016,T2
Uplands_PARK_Rocky_003,1,Field,4,12,4,0,0,0,24,40,2021,T3
Uplands_PARK_Rocky_003,2,Field,5,5,5,0,0,0,13,40,2021,T3
Uplands_PARK_Rocky_003,3,Field,4,7,4,0,0,0,16,40,2021,T3
Uplands_PARK_Rocky_003,4,Field,2,3,2,0,0,0,18,40,2021,T3
Uplands_PARK_Rocky_003,5,Field,3,12,3,0,0,0,24,40,2021,T3
Uplands_PARK_Rocky_003,6,Field,1,4,1,0,0,0,14,40,2021,T3
Uplands_PARK_Rocky_005,1,Field,23,4,23,0,0,0,32,40,2011,T1
Uplands_PARK_Rocky_005,2,Field,20,2,25,0,0,0,35,40,2011,T1
Uplands_PARK_Rocky_005,3,Field,30,0,31,1,0,0,37,40,2011,T1
Uplands_PARK_Rocky_005,4,Field,18,10,18,0,0,0,30,40,2011,T1
Uplands_PARK_Rocky_005,5,Field,12,11,12,0,0,0,33,40,2011,T1
Uplands_PARK_Rocky_005,6,Field,23,0,23,0,0,1,33,40,2011,T1
Uplands_PARK_Rocky_005,1,Field,29,0,29,0,0,2,34,40,2016,T2
Uplands_PARK_Rocky_005,2,Field,26,4,26,0,0,0,32,40,2016,T2
Uplands_PARK_Rocky_005,3,Field,14,13,14,0,1,1,32,40,2016,T2
Uplands_PARK_Rocky_005,4,Field,19,2,19,0,0,0,28,40,2016,T2
Uplands_PARK_Rocky_005,5,Field,30,1,30,0,0,0,33,40,2016,T2
Uplands_PARK_Rocky_005,6,Field,27,4,27,0,0,0,32,40,2016,T2
Uplands_PARK_Rocky_005,1,Field,13,2,13,0,0,0,29,40,2021,T3
Uplands_PARK_Rocky_005,2,Field,12,6,12,0,0,0,33,40,2021,T3
Uplands_PARK_Rocky_005,3,Field,7,5,7,0,1,1,26,40,2021,T3
Uplands_PARK_Rocky_005,4,Field,11,5,11,0,0,0,32,40,2021,T3
Uplands_PARK_Rocky_005,5,Field,10,2,10,0,0,0,26,40,2021,T3
Uplands_PARK_Rocky_005,6,Field,15,7,15,0,0,0,32,40,2021,T3
Uplands_PARK_Rocky_010,1,Field,12,0,12,0,0,0,15,40,2011,T1
Uplands_PARK_Rocky_010,2,Field,5,4,5,0,0,0,13,40,2011,T1
Uplands_PARK_Rocky_010,3,Field,6,0,6,0,0,0,11,40,2011,T1
Uplands_PARK_Rocky_010,4,Field,7,2,10,3,0,0,18,40,2011,T1
Uplands_PARK_Rocky_010,5,Field,3,2,6,3,0,0,13,40,2011,T1
Uplands_PARK_Rocky_010,6,Field,7,0,7,0,0,0,8,40,2011,T1
Uplands_PARK_Rocky_010,1,Field,20,0,20,0,0,0,26,40,2016,T2
Uplands_PARK_Rocky_010,2,Field,20,3,20,0,0,0,26,40,2016,T2
Uplands_PARK_Rocky_010,3,Field,27,2,27,0,0,0,34,40,2016,T2
Uplands_PARK_Rocky_010,4,Field,27,0,27,0,0,0,33,40,2016,T2
Uplands_PARK_Rocky_010,5,Field,28,1,28,0,0,0,30,40,2016,T2
Uplands_PARK_Rocky_010,6,Field,21,0,21,0,0,0,22,40,2016,T2
Uplands_PARK_Rocky_010,1,Field,20,0,20,0,0,0,28,40,2021,T3
Uplands_PARK_Rocky_010,2,Field,13,0,13,0,0,0,13,40,2021,T3
Uplands_PARK_Rocky_010,3,Field,12,0,12,0,1,0,24,40,2021,T3
Uplands_PARK_Rocky_010,4,Field,10,0,10,0,0,0,19,40,2021,T3
Uplands_PARK_Rocky_010,5,Field,12,2,12,0,0,0,22,40,2021,T3
Uplands_PARK_Rocky_010,6,Field,9,0,10,1,0,0,16,40,2021,T3
Uplands_PARK_Rocky_011,1,Field,18,3,18,0,0,0,34,40,2016,T2
Uplands_PARK_Rocky_011,2,Field,18,4,18,0,0,0,31,40,2016,T2
Uplands_PARK_Rocky_011,3,Field,21,3,21,0,0,0,31,40,2016,T2
Uplands_PARK_Rocky_011,4,Field,24,3,24,0,0,0,31,40,2016,T2
Uplands_PARK_Rocky_011,5,Field,23,5,23,0,0,0,32,40,2016,T2
Uplands_PARK_Rocky_011,6,Field,8,8,8,0,0,0,24,40,2016,T2
Uplands_PARK_Rocky_011,1,Field,8,6,8,0,0,0,32,40,2021,T3
Uplands_PARK_Rocky_011,2,Field,11,8,11,0,0,0,27,40,2021,T3
Uplands_PARK_Rocky_011,3,Field,10,13,10,0,0,0,25,40,2021,T3
Uplands_PARK_Rocky_011,4,Field,9,8,9,0,0,0,25,40,2021,T3
Uplands_PARK_Rocky_011,5,Field,9,11,9,0,0,0,24,40,2021,T3
Uplands_PARK_Rocky_011,6,Field,8,8,8,0,0,0,24,40,2021,T3
Uplands_PARK_Rocky_011,,,,,,,,,,,2011,T1
